"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2021W47","2021 Week 47","10","Dublin Metro Bus","Number","2159300"
"THA25C01","Passenger Journeys","2021W47","2021 Week 47","20","Bus, excluding Dublin Metro","Number","573025"
"THA25C01","Passenger Journeys","2021W47","2021 Week 47","30","Rail","Number","465963"
"THA25C01","Passenger Journeys","2021W47","2021 Week 47","40","All public transport, excluding LUAS","Number","3198288"
"THA25C01","Passenger Journeys","2021W48","2021 Week 48","10","Dublin Metro Bus","Number","2126792"
"THA25C01","Passenger Journeys","2021W48","2021 Week 48","20","Bus, excluding Dublin Metro","Number","545762"
"THA25C01","Passenger Journeys","2021W48","2021 Week 48","30","Rail","Number","465590"
"THA25C01","Passenger Journeys","2021W48","2021 Week 48","40","All public transport, excluding LUAS","Number","3138144"
"THA25C01","Passenger Journeys","2021W49","2021 Week 49","10","Dublin Metro Bus","Number","1910575"
"THA25C01","Passenger Journeys","2021W49","2021 Week 49","20","Bus, excluding Dublin Metro","Number","478897"
"THA25C01","Passenger Journeys","2021W49","2021 Week 49","30","Rail","Number","417041"
"THA25C01","Passenger Journeys","2021W49","2021 Week 49","40","All public transport, excluding LUAS","Number","2806513"
"THA25C01","Passenger Journeys","2021W50","2021 Week 50","10","Dublin Metro Bus","Number","2173422"
"THA25C01","Passenger Journeys","2021W50","2021 Week 50","20","Bus, excluding Dublin Metro","Number","586228"
"THA25C01","Passenger Journeys","2021W50","2021 Week 50","30","Rail","Number","477149"
"THA25C01","Passenger Journeys","2021W50","2021 Week 50","40","All public transport, excluding LUAS","Number","3236799"
"THA25C01","Passenger Journeys","2021W51","2021 Week 51","10","Dublin Metro Bus","Number","1496396"
"THA25C01","Passenger Journeys","2021W51","2021 Week 51","20","Bus, excluding Dublin Metro","Number","396284"
"THA25C01","Passenger Journeys","2021W51","2021 Week 51","30","Rail","Number","278965"
"THA25C01","Passenger Journeys","2021W51","2021 Week 51","40","All public transport, excluding LUAS","Number","2171645"
"THA25C01","Passenger Journeys","2021W52","2021 Week 52","10","Dublin Metro Bus","Number","1099282"
"THA25C01","Passenger Journeys","2021W52","2021 Week 52","20","Bus, excluding Dublin Metro","Number","289588"
"THA25C01","Passenger Journeys","2021W52","2021 Week 52","30","Rail","Number","243709"
"THA25C01","Passenger Journeys","2021W52","2021 Week 52","40","All public transport, excluding LUAS","Number","1632579"
"THA25C01","Passenger Journeys","2021W53","2021 Week 53","10","Dublin Metro Bus","Number",""
"THA25C01","Passenger Journeys","2021W53","2021 Week 53","20","Bus, excluding Dublin Metro","Number",""
"THA25C01","Passenger Journeys","2021W53","2021 Week 53","30","Rail","Number",""
"THA25C01","Passenger Journeys","2021W53","2021 Week 53","40","All public transport, excluding LUAS","Number",""
