"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2019W06","2019 Week 06","20","Bus, excluding Dublin Metro","Number","696573"
"THA25C01","Passenger Journeys","2019W06","2019 Week 06","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W06","2019 Week 06","40","All public transport, excluding LUAS","Number","3676533"
"THA25C01","Passenger Journeys","2019W07","2019 Week 07","10","Dublin Metro Bus","Number","3053710"
"THA25C01","Passenger Journeys","2019W07","2019 Week 07","20","Bus, excluding Dublin Metro","Number","736594"
"THA25C01","Passenger Journeys","2019W07","2019 Week 07","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W07","2019 Week 07","40","All public transport, excluding LUAS","Number","3790304"
"THA25C01","Passenger Journeys","2019W08","2019 Week 08","10","Dublin Metro Bus","Number","2927041"
"THA25C01","Passenger Journeys","2019W08","2019 Week 08","20","Bus, excluding Dublin Metro","Number","677931"
"THA25C01","Passenger Journeys","2019W08","2019 Week 08","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W08","2019 Week 08","40","All public transport, excluding LUAS","Number","3604972"
"THA25C01","Passenger Journeys","2019W09","2019 Week 09","10","Dublin Metro Bus","Number","2989171"
"THA25C01","Passenger Journeys","2019W09","2019 Week 09","20","Bus, excluding Dublin Metro","Number","706297"
"THA25C01","Passenger Journeys","2019W09","2019 Week 09","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W09","2019 Week 09","40","All public transport, excluding LUAS","Number","3695468"
"THA25C01","Passenger Journeys","2019W10","2019 Week 10","10","Dublin Metro Bus","Number","3065148"
"THA25C01","Passenger Journeys","2019W10","2019 Week 10","20","Bus, excluding Dublin Metro","Number","718505"
"THA25C01","Passenger Journeys","2019W10","2019 Week 10","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W10","2019 Week 10","40","All public transport, excluding LUAS","Number","3783653"
"THA25C01","Passenger Journeys","2019W11","2019 Week 11","10","Dublin Metro Bus","Number","2998440"
"THA25C01","Passenger Journeys","2019W11","2019 Week 11","20","Bus, excluding Dublin Metro","Number","731042"
"THA25C01","Passenger Journeys","2019W11","2019 Week 11","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W11","2019 Week 11","40","All public transport, excluding LUAS","Number","3729482"
"THA25C01","Passenger Journeys","2019W12","2019 Week 12","10","Dublin Metro Bus","Number","2742468"
"THA25C01","Passenger Journeys","2019W12","2019 Week 12","20","Bus, excluding Dublin Metro","Number","665202"
"THA25C01","Passenger Journeys","2019W12","2019 Week 12","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W12","2019 Week 12","40","All public transport, excluding LUAS","Number","3407670"
"THA25C01","Passenger Journeys","2019W13","2019 Week 13","10","Dublin Metro Bus","Number","3136873"
"THA25C01","Passenger Journeys","2019W13","2019 Week 13","20","Bus, excluding Dublin Metro","Number","749734"
"THA25C01","Passenger Journeys","2019W13","2019 Week 13","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W13","2019 Week 13","40","All public transport, excluding LUAS","Number","3886607"
"THA25C01","Passenger Journeys","2019W14","2019 Week 14","10","Dublin Metro Bus","Number","3087216"
"THA25C01","Passenger Journeys","2019W14","2019 Week 14","20","Bus, excluding Dublin Metro","Number","725196"
"THA25C01","Passenger Journeys","2019W14","2019 Week 14","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W14","2019 Week 14","40","All public transport, excluding LUAS","Number","3812412"
"THA25C01","Passenger Journeys","2019W15","2019 Week 15","10","Dublin Metro Bus","Number","3101074"
"THA25C01","Passenger Journeys","2019W15","2019 Week 15","20","Bus, excluding Dublin Metro","Number","717874"
"THA25C01","Passenger Journeys","2019W15","2019 Week 15","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W15","2019 Week 15","40","All public transport, excluding LUAS","Number","3818948"
"THA25C01","Passenger Journeys","2019W16","2019 Week 16","10","Dublin Metro Bus","Number","2723661"
"THA25C01","Passenger Journeys","2019W16","2019 Week 16","20","Bus, excluding Dublin Metro","Number","636735"
"THA25C01","Passenger Journeys","2019W16","2019 Week 16","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W16","2019 Week 16","40","All public transport, excluding LUAS","Number","3360396"
"THA25C01","Passenger Journeys","2019W17","2019 Week 17","10","Dublin Metro Bus","Number","2535513"
"THA25C01","Passenger Journeys","2019W17","2019 Week 17","20","Bus, excluding Dublin Metro","Number","601236"
"THA25C01","Passenger Journeys","2019W17","2019 Week 17","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W17","2019 Week 17","40","All public transport, excluding LUAS","Number","3136749"
"THA25C01","Passenger Journeys","2019W18","2019 Week 18","10","Dublin Metro Bus","Number","2990676"
"THA25C01","Passenger Journeys","2019W18","2019 Week 18","20","Bus, excluding Dublin Metro","Number","727961"
"THA25C01","Passenger Journeys","2019W18","2019 Week 18","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W18","2019 Week 18","40","All public transport, excluding LUAS","Number","3718637"
"THA25C01","Passenger Journeys","2019W19","2019 Week 19","10","Dublin Metro Bus","Number","2719955"
"THA25C01","Passenger Journeys","2019W19","2019 Week 19","20","Bus, excluding Dublin Metro","Number","650874"
"THA25C01","Passenger Journeys","2019W19","2019 Week 19","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W19","2019 Week 19","40","All public transport, excluding LUAS","Number","3370829"
"THA25C01","Passenger Journeys","2019W20","2019 Week 20","10","Dublin Metro Bus","Number","2960967"
"THA25C01","Passenger Journeys","2019W20","2019 Week 20","20","Bus, excluding Dublin Metro","Number","691221"
"THA25C01","Passenger Journeys","2019W20","2019 Week 20","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W20","2019 Week 20","40","All public transport, excluding LUAS","Number","3652188"
"THA25C01","Passenger Journeys","2019W21","2019 Week 21","10","Dublin Metro Bus","Number","2938021"
"THA25C01","Passenger Journeys","2019W21","2019 Week 21","20","Bus, excluding Dublin Metro","Number","701342"
"THA25C01","Passenger Journeys","2019W21","2019 Week 21","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W21","2019 Week 21","40","All public transport, excluding LUAS","Number","3639363"
"THA25C01","Passenger Journeys","2019W22","2019 Week 22","10","Dublin Metro Bus","Number","2900323"
"THA25C01","Passenger Journeys","2019W22","2019 Week 22","20","Bus, excluding Dublin Metro","Number","681399"
"THA25C01","Passenger Journeys","2019W22","2019 Week 22","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W22","2019 Week 22","40","All public transport, excluding LUAS","Number","3581722"
"THA25C01","Passenger Journeys","2019W23","2019 Week 23","10","Dublin Metro Bus","Number","2591616"
"THA25C01","Passenger Journeys","2019W23","2019 Week 23","20","Bus, excluding Dublin Metro","Number","617748"
"THA25C01","Passenger Journeys","2019W23","2019 Week 23","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W23","2019 Week 23","40","All public transport, excluding LUAS","Number","3209364"
"THA25C01","Passenger Journeys","2019W24","2019 Week 24","10","Dublin Metro Bus","Number","2844409"
"THA25C01","Passenger Journeys","2019W24","2019 Week 24","20","Bus, excluding Dublin Metro","Number","669882"
"THA25C01","Passenger Journeys","2019W24","2019 Week 24","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W24","2019 Week 24","40","All public transport, excluding LUAS","Number","3514291"
"THA25C01","Passenger Journeys","2019W25","2019 Week 25","10","Dublin Metro Bus","Number","2826773"
"THA25C01","Passenger Journeys","2019W25","2019 Week 25","20","Bus, excluding Dublin Metro","Number","680777"
"THA25C01","Passenger Journeys","2019W25","2019 Week 25","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W25","2019 Week 25","40","All public transport, excluding LUAS","Number","3507550"
"THA25C01","Passenger Journeys","2019W26","2019 Week 26","10","Dublin Metro Bus","Number","2840156"
"THA25C01","Passenger Journeys","2019W26","2019 Week 26","20","Bus, excluding Dublin Metro","Number","686867"
"THA25C01","Passenger Journeys","2019W26","2019 Week 26","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W26","2019 Week 26","40","All public transport, excluding LUAS","Number","3527023"
"THA25C01","Passenger Journeys","2019W27","2019 Week 27","10","Dublin Metro Bus","Number","2953254"
"THA25C01","Passenger Journeys","2019W27","2019 Week 27","20","Bus, excluding Dublin Metro","Number","705163"
"THA25C01","Passenger Journeys","2019W27","2019 Week 27","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W27","2019 Week 27","40","All public transport, excluding LUAS","Number","3658417"
"THA25C01","Passenger Journeys","2019W28","2019 Week 28","10","Dublin Metro Bus","Number","2954091"
"THA25C01","Passenger Journeys","2019W28","2019 Week 28","20","Bus, excluding Dublin Metro","Number","713037"
"THA25C01","Passenger Journeys","2019W28","2019 Week 28","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W28","2019 Week 28","40","All public transport, excluding LUAS","Number","3667128"
"THA25C01","Passenger Journeys","2019W29","2019 Week 29","10","Dublin Metro Bus","Number","2895372"
"THA25C01","Passenger Journeys","2019W29","2019 Week 29","20","Bus, excluding Dublin Metro","Number","701340"
"THA25C01","Passenger Journeys","2019W29","2019 Week 29","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W29","2019 Week 29","40","All public transport, excluding LUAS","Number","3596712"
"THA25C01","Passenger Journeys","2019W30","2019 Week 30","10","Dublin Metro Bus","Number","2939485"
"THA25C01","Passenger Journeys","2019W30","2019 Week 30","20","Bus, excluding Dublin Metro","Number","713657"
"THA25C01","Passenger Journeys","2019W30","2019 Week 30","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W30","2019 Week 30","40","All public transport, excluding LUAS","Number","3653142"
"THA25C01","Passenger Journeys","2019W31","2019 Week 31","10","Dublin Metro Bus","Number","2725260"
"THA25C01","Passenger Journeys","2019W31","2019 Week 31","20","Bus, excluding Dublin Metro","Number","680616"
"THA25C01","Passenger Journeys","2019W31","2019 Week 31","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W31","2019 Week 31","40","All public transport, excluding LUAS","Number","3405876"
"THA25C01","Passenger Journeys","2019W32","2019 Week 32","10","Dublin Metro Bus","Number","2547806"
"THA25C01","Passenger Journeys","2019W32","2019 Week 32","20","Bus, excluding Dublin Metro","Number","616761"
"THA25C01","Passenger Journeys","2019W32","2019 Week 32","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W32","2019 Week 32","40","All public transport, excluding LUAS","Number","3164567"
"THA25C01","Passenger Journeys","2019W33","2019 Week 33","10","Dublin Metro Bus","Number","2724875"
"THA25C01","Passenger Journeys","2019W33","2019 Week 33","20","Bus, excluding Dublin Metro","Number","697890"
"THA25C01","Passenger Journeys","2019W33","2019 Week 33","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W33","2019 Week 33","40","All public transport, excluding LUAS","Number","3422765"
"THA25C01","Passenger Journeys","2019W34","2019 Week 34","10","Dublin Metro Bus","Number","2793023"
"THA25C01","Passenger Journeys","2019W34","2019 Week 34","20","Bus, excluding Dublin Metro","Number","689702"
"THA25C01","Passenger Journeys","2019W34","2019 Week 34","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W34","2019 Week 34","40","All public transport, excluding LUAS","Number","3482725"
"THA25C01","Passenger Journeys","2019W35","2019 Week 35","10","Dublin Metro Bus","Number","2872215"
"THA25C01","Passenger Journeys","2019W35","2019 Week 35","20","Bus, excluding Dublin Metro","Number","695388"
"THA25C01","Passenger Journeys","2019W35","2019 Week 35","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W35","2019 Week 35","40","All public transport, excluding LUAS","Number","3567603"
"THA25C01","Passenger Journeys","2019W36","2019 Week 36","10","Dublin Metro Bus","Number","2999569"
"THA25C01","Passenger Journeys","2019W36","2019 Week 36","20","Bus, excluding Dublin Metro","Number","744038"
"THA25C01","Passenger Journeys","2019W36","2019 Week 36","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W36","2019 Week 36","40","All public transport, excluding LUAS","Number","3743607"
"THA25C01","Passenger Journeys","2019W37","2019 Week 37","10","Dublin Metro Bus","Number","3109763"
"THA25C01","Passenger Journeys","2019W37","2019 Week 37","20","Bus, excluding Dublin Metro","Number","820112"
"THA25C01","Passenger Journeys","2019W37","2019 Week 37","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W37","2019 Week 37","40","All public transport, excluding LUAS","Number","3929875"
"THA25C01","Passenger Journeys","2019W38","2019 Week 38","10","Dublin Metro Bus","Number","3182473"
"THA25C01","Passenger Journeys","2019W38","2019 Week 38","20","Bus, excluding Dublin Metro","Number","828356"
"THA25C01","Passenger Journeys","2019W38","2019 Week 38","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W38","2019 Week 38","40","All public transport, excluding LUAS","Number","4010829"
"THA25C01","Passenger Journeys","2019W39","2019 Week 39","10","Dublin Metro Bus","Number","3204042"
"THA25C01","Passenger Journeys","2019W39","2019 Week 39","20","Bus, excluding Dublin Metro","Number","814190"
"THA25C01","Passenger Journeys","2019W39","2019 Week 39","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W39","2019 Week 39","40","All public transport, excluding LUAS","Number","4018232"
"THA25C01","Passenger Journeys","2019W40","2019 Week 40","10","Dublin Metro Bus","Number","3139165"
"THA25C01","Passenger Journeys","2019W40","2019 Week 40","20","Bus, excluding Dublin Metro","Number","776594"
"THA25C01","Passenger Journeys","2019W40","2019 Week 40","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W40","2019 Week 40","40","All public transport, excluding LUAS","Number","3915759"
"THA25C01","Passenger Journeys","2019W41","2019 Week 41","10","Dublin Metro Bus","Number","3243670"
"THA25C01","Passenger Journeys","2019W41","2019 Week 41","20","Bus, excluding Dublin Metro","Number","824314"
"THA25C01","Passenger Journeys","2019W41","2019 Week 41","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W41","2019 Week 41","40","All public transport, excluding LUAS","Number","4067984"
"THA25C01","Passenger Journeys","2019W42","2019 Week 42","10","Dublin Metro Bus","Number","3238993"
"THA25C01","Passenger Journeys","2019W42","2019 Week 42","20","Bus, excluding Dublin Metro","Number","805498"
"THA25C01","Passenger Journeys","2019W42","2019 Week 42","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W42","2019 Week 42","40","All public transport, excluding LUAS","Number","4044491"
"THA25C01","Passenger Journeys","2019W43","2019 Week 43","10","Dublin Metro Bus","Number","3170924"
"THA25C01","Passenger Journeys","2019W43","2019 Week 43","20","Bus, excluding Dublin Metro","Number","824331"
"THA25C01","Passenger Journeys","2019W43","2019 Week 43","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W43","2019 Week 43","40","All public transport, excluding LUAS","Number","3995255"
"THA25C01","Passenger Journeys","2019W44","2019 Week 44","10","Dublin Metro Bus","Number","2708101"
"THA25C01","Passenger Journeys","2019W44","2019 Week 44","20","Bus, excluding Dublin Metro","Number","655906"
"THA25C01","Passenger Journeys","2019W44","2019 Week 44","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W44","2019 Week 44","40","All public transport, excluding LUAS","Number","3364007"
"THA25C01","Passenger Journeys","2019W45","2019 Week 45","10","Dublin Metro Bus","Number","3130443"
"THA25C01","Passenger Journeys","2019W45","2019 Week 45","20","Bus, excluding Dublin Metro","Number","775922"
"THA25C01","Passenger Journeys","2019W45","2019 Week 45","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W45","2019 Week 45","40","All public transport, excluding LUAS","Number","3906365"
"THA25C01","Passenger Journeys","2019W46","2019 Week 46","10","Dublin Metro Bus","Number","3206894"
"THA25C01","Passenger Journeys","2019W46","2019 Week 46","20","Bus, excluding Dublin Metro","Number","783830"
"THA25C01","Passenger Journeys","2019W46","2019 Week 46","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W46","2019 Week 46","40","All public transport, excluding LUAS","Number","3990724"
"THA25C01","Passenger Journeys","2019W47","2019 Week 47","10","Dublin Metro Bus","Number","3192052"
"THA25C01","Passenger Journeys","2019W47","2019 Week 47","20","Bus, excluding Dublin Metro","Number","772760"
"THA25C01","Passenger Journeys","2019W47","2019 Week 47","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W47","2019 Week 47","40","All public transport, excluding LUAS","Number","3964812"
"THA25C01","Passenger Journeys","2019W48","2019 Week 48","10","Dublin Metro Bus","Number","3251721"
"THA25C01","Passenger Journeys","2019W48","2019 Week 48","20","Bus, excluding Dublin Metro","Number","794233"
"THA25C01","Passenger Journeys","2019W48","2019 Week 48","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W48","2019 Week 48","40","All public transport, excluding LUAS","Number","4045954"
"THA25C01","Passenger Journeys","2019W49","2019 Week 49","10","Dublin Metro Bus","Number","3215990"
"THA25C01","Passenger Journeys","2019W49","2019 Week 49","20","Bus, excluding Dublin Metro","Number","773085"
"THA25C01","Passenger Journeys","2019W49","2019 Week 49","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W49","2019 Week 49","40","All public transport, excluding LUAS","Number","3989075"
"THA25C01","Passenger Journeys","2019W50","2019 Week 50","10","Dublin Metro Bus","Number","3271738"
"THA25C01","Passenger Journeys","2019W50","2019 Week 50","20","Bus, excluding Dublin Metro","Number","768340"
"THA25C01","Passenger Journeys","2019W50","2019 Week 50","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W50","2019 Week 50","40","All public transport, excluding LUAS","Number","4040078"
"THA25C01","Passenger Journeys","2019W51","2019 Week 51","10","Dublin Metro Bus","Number","3166707"
"THA25C01","Passenger Journeys","2019W51","2019 Week 51","20","Bus, excluding Dublin Metro","Number","900418"
"THA25C01","Passenger Journeys","2019W51","2019 Week 51","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W51","2019 Week 51","40","All public transport, excluding LUAS","Number","4067125"
"THA25C01","Passenger Journeys","2019W52","2019 Week 52","10","Dublin Metro Bus","Number","1599369"
"THA25C01","Passenger Journeys","2019W52","2019 Week 52","20","Bus, excluding Dublin Metro","Number","397160"
"THA25C01","Passenger Journeys","2019W52","2019 Week 52","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W52","2019 Week 52","40","All public transport, excluding LUAS","Number","1996529"
"THA25C01","Passenger Journeys","2019W53","2019 Week 53","10","Dublin Metro Bus","Number",""
"THA25C01","Passenger Journeys","2019W53","2019 Week 53","20","Bus, excluding Dublin Metro","Number",""
"THA25C01","Passenger Journeys","2019W53","2019 Week 53","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W53","2019 Week 53","40","All public transport, excluding LUAS","Number",""
"THA25C01","Passenger Journeys","2020W01","2020 Week 01","10","Dublin Metro Bus","Number","1970550"
"THA25C01","Passenger Journeys","2020W01","2020 Week 01","20","Bus, excluding Dublin Metro","Number","523817"
"THA25C01","Passenger Journeys","2020W01","2020 Week 01","30","Rail","Number","697954"
"THA25C01","Passenger Journeys","2020W01","2020 Week 01","40","All public transport, excluding LUAS","Number","3192321"
"THA25C01","Passenger Journeys","2020W02","2020 Week 02","10","Dublin Metro Bus","Number","2830713"
"THA25C01","Passenger Journeys","2020W02","2020 Week 02","20","Bus, excluding Dublin Metro","Number","652672"
"THA25C01","Passenger Journeys","2020W02","2020 Week 02","30","Rail","Number","899175"
"THA25C01","Passenger Journeys","2020W02","2020 Week 02","40","All public transport, excluding LUAS","Number","4382560"
"THA25C01","Passenger Journeys","2020W03","2020 Week 03","10","Dublin Metro Bus","Number","2907797"
"THA25C01","Passenger Journeys","2020W03","2020 Week 03","20","Bus, excluding Dublin Metro","Number","693102"
"THA25C01","Passenger Journeys","2020W03","2020 Week 03","30","Rail","Number","925257"
"THA25C01","Passenger Journeys","2020W03","2020 Week 03","40","All public transport, excluding LUAS","Number","4526156"
"THA25C01","Passenger Journeys","2020W04","2020 Week 04","10","Dublin Metro Bus","Number","3076009"
"THA25C01","Passenger Journeys","2020W04","2020 Week 04","20","Bus, excluding Dublin Metro","Number","747531"
"THA25C01","Passenger Journeys","2020W04","2020 Week 04","30","Rail","Number","959703"
"THA25C01","Passenger Journeys","2020W04","2020 Week 04","40","All public transport, excluding LUAS","Number","4783243"
"THA25C01","Passenger Journeys","2020W05","2020 Week 05","10","Dublin Metro Bus","Number","3152056"
"THA25C01","Passenger Journeys","2020W05","2020 Week 05","20","Bus, excluding Dublin Metro","Number","755189"
"THA25C01","Passenger Journeys","2020W05","2020 Week 05","30","Rail","Number","1019494"
"THA25C01","Passenger Journeys","2020W05","2020 Week 05","40","All public transport, excluding LUAS","Number","4926739"
"THA25C01","Passenger Journeys","2020W06","2020 Week 06","10","Dublin Metro Bus","Number","3104689"
"THA25C01","Passenger Journeys","2020W06","2020 Week 06","20","Bus, excluding Dublin Metro","Number","748401"
"THA25C01","Passenger Journeys","2020W06","2020 Week 06","30","Rail","Number","1041672"
"THA25C01","Passenger Journeys","2020W06","2020 Week 06","40","All public transport, excluding LUAS","Number","4894762"
"THA25C01","Passenger Journeys","2020W07","2020 Week 07","10","Dublin Metro Bus","Number","3097986"
"THA25C01","Passenger Journeys","2020W07","2020 Week 07","20","Bus, excluding Dublin Metro","Number","729974"
"THA25C01","Passenger Journeys","2020W07","2020 Week 07","30","Rail","Number","908680"
"THA25C01","Passenger Journeys","2020W07","2020 Week 07","40","All public transport, excluding LUAS","Number","4736640"
"THA25C01","Passenger Journeys","2020W08","2020 Week 08","10","Dublin Metro Bus","Number","3046425"
"THA25C01","Passenger Journeys","2020W08","2020 Week 08","20","Bus, excluding Dublin Metro","Number","728267"
"THA25C01","Passenger Journeys","2020W08","2020 Week 08","30","Rail","Number","954421"
"THA25C01","Passenger Journeys","2020W08","2020 Week 08","40","All public transport, excluding LUAS","Number","4729113"
"THA25C01","Passenger Journeys","2020W09","2020 Week 09","10","Dublin Metro Bus","Number","3145979"
"THA25C01","Passenger Journeys","2020W09","2020 Week 09","20","Bus, excluding Dublin Metro","Number","738222"
"THA25C01","Passenger Journeys","2020W09","2020 Week 09","30","Rail","Number","946324"
"THA25C01","Passenger Journeys","2020W09","2020 Week 09","40","All public transport, excluding LUAS","Number","4830525"
"THA25C01","Passenger Journeys","2020W10","2020 Week 10","10","Dublin Metro Bus","Number","3103704"
"THA25C01","Passenger Journeys","2020W10","2020 Week 10","20","Bus, excluding Dublin Metro","Number","755581"
"THA25C01","Passenger Journeys","2020W10","2020 Week 10","30","Rail","Number","851347"
"THA25C01","Passenger Journeys","2020W10","2020 Week 10","40","All public transport, excluding LUAS","Number","4710632"
"THA25C01","Passenger Journeys","2020W11","2020 Week 11","10","Dublin Metro Bus","Number","2451496"
"THA25C01","Passenger Journeys","2020W11","2020 Week 11","20","Bus, excluding Dublin Metro","Number","585892"
"THA25C01","Passenger Journeys","2020W11","2020 Week 11","30","Rail","Number","907046"
"THA25C01","Passenger Journeys","2020W11","2020 Week 11","40","All public transport, excluding LUAS","Number","3944434"
"THA25C01","Passenger Journeys","2020W12","2020 Week 12","10","Dublin Metro Bus","Number","828756"
"THA25C01","Passenger Journeys","2020W12","2020 Week 12","20","Bus, excluding Dublin Metro","Number","189509"
"THA25C01","Passenger Journeys","2020W12","2020 Week 12","30","Rail","Number","627170"
"THA25C01","Passenger Journeys","2020W12","2020 Week 12","40","All public transport, excluding LUAS","Number","1645435"
"THA25C01","Passenger Journeys","2020W13","2020 Week 13","10","Dublin Metro Bus","Number","593463"
"THA25C01","Passenger Journeys","2020W13","2020 Week 13","20","Bus, excluding Dublin Metro","Number","143429"
"THA25C01","Passenger Journeys","2020W13","2020 Week 13","30","Rail","Number","77149"
"THA25C01","Passenger Journeys","2020W13","2020 Week 13","40","All public transport, excluding LUAS","Number","814041"
"THA25C01","Passenger Journeys","2020W14","2020 Week 14","10","Dublin Metro Bus","Number","365560"
"THA25C01","Passenger Journeys","2020W14","2020 Week 14","20","Bus, excluding Dublin Metro","Number","85598"
"THA25C01","Passenger Journeys","2020W14","2020 Week 14","30","Rail","Number","26302"
"THA25C01","Passenger Journeys","2020W14","2020 Week 14","40","All public transport, excluding LUAS","Number","477460"
"THA25C01","Passenger Journeys","2020W15","2020 Week 15","10","Dublin Metro Bus","Number","374262"
"THA25C01","Passenger Journeys","2020W15","2020 Week 15","20","Bus, excluding Dublin Metro","Number","91529"
"THA25C01","Passenger Journeys","2020W15","2020 Week 15","30","Rail","Number","23231"
"THA25C01","Passenger Journeys","2020W15","2020 Week 15","40","All public transport, excluding LUAS","Number","489022"
"THA25C01","Passenger Journeys","2020W16","2020 Week 16","10","Dublin Metro Bus","Number","361266"
"THA25C01","Passenger Journeys","2020W16","2020 Week 16","20","Bus, excluding Dublin Metro","Number","85871"
"THA25C01","Passenger Journeys","2020W16","2020 Week 16","30","Rail","Number","28071"
"THA25C01","Passenger Journeys","2020W16","2020 Week 16","40","All public transport, excluding LUAS","Number","475208"
"THA25C01","Passenger Journeys","2020W17","2020 Week 17","10","Dublin Metro Bus","Number","408826"
"THA25C01","Passenger Journeys","2020W17","2020 Week 17","20","Bus, excluding Dublin Metro","Number","100755"
"THA25C01","Passenger Journeys","2020W17","2020 Week 17","30","Rail","Number","32787"
"THA25C01","Passenger Journeys","2020W17","2020 Week 17","40","All public transport, excluding LUAS","Number","542368"
"THA25C01","Passenger Journeys","2020W18","2020 Week 18","10","Dublin Metro Bus","Number","433369"
"THA25C01","Passenger Journeys","2020W18","2020 Week 18","20","Bus, excluding Dublin Metro","Number","106193"
"THA25C01","Passenger Journeys","2020W18","2020 Week 18","30","Rail","Number","35354"
"THA25C01","Passenger Journeys","2020W18","2020 Week 18","40","All public transport, excluding LUAS","Number","574916"
"THA25C01","Passenger Journeys","2020W19","2020 Week 19","10","Dublin Metro Bus","Number","449887"
"THA25C01","Passenger Journeys","2020W19","2020 Week 19","20","Bus, excluding Dublin Metro","Number","110131"
"THA25C01","Passenger Journeys","2020W19","2020 Week 19","30","Rail","Number","38142"
"THA25C01","Passenger Journeys","2020W19","2020 Week 19","40","All public transport, excluding LUAS","Number","598160"
"THA25C01","Passenger Journeys","2020W20","2020 Week 20","10","Dublin Metro Bus","Number","504279"
"THA25C01","Passenger Journeys","2020W20","2020 Week 20","20","Bus, excluding Dublin Metro","Number","122686"
"THA25C01","Passenger Journeys","2020W20","2020 Week 20","30","Rail","Number","44431"
"THA25C01","Passenger Journeys","2020W20","2020 Week 20","40","All public transport, excluding LUAS","Number","671396"
"THA25C01","Passenger Journeys","2020W21","2020 Week 21","10","Dublin Metro Bus","Number","631921"
"THA25C01","Passenger Journeys","2020W21","2020 Week 21","20","Bus, excluding Dublin Metro","Number","149607"
"THA25C01","Passenger Journeys","2020W21","2020 Week 21","30","Rail","Number","69766"
"THA25C01","Passenger Journeys","2020W21","2020 Week 21","40","All public transport, excluding LUAS","Number","851294"
"THA25C01","Passenger Journeys","2020W22","2020 Week 22","10","Dublin Metro Bus","Number","740034"
"THA25C01","Passenger Journeys","2020W22","2020 Week 22","20","Bus, excluding Dublin Metro","Number","171072"
"THA25C01","Passenger Journeys","2020W22","2020 Week 22","30","Rail","Number","98967"
"THA25C01","Passenger Journeys","2020W22","2020 Week 22","40","All public transport, excluding LUAS","Number","1010073"
"THA25C01","Passenger Journeys","2020W23","2020 Week 23","10","Dublin Metro Bus","Number","717292"
"THA25C01","Passenger Journeys","2020W23","2020 Week 23","20","Bus, excluding Dublin Metro","Number","169871"
"THA25C01","Passenger Journeys","2020W23","2020 Week 23","30","Rail","Number","101021"
"THA25C01","Passenger Journeys","2020W23","2020 Week 23","40","All public transport, excluding LUAS","Number","988184"
"THA25C01","Passenger Journeys","2020W24","2020 Week 24","10","Dublin Metro Bus","Number","885658"
"THA25C01","Passenger Journeys","2020W24","2020 Week 24","20","Bus, excluding Dublin Metro","Number","219384"
