"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02639V03196","Day of Week","C03839V04589","Bus City Services","UNIT","VALUE"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","-","All days","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","-","All days","50","Dublin Bus","Number","1321526"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","1","Sunday","10","Cork city","Number","10829"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","1","Sunday","20","Galway city","Number","4508"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","1","Sunday","30","Limerick city","Number","2771"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","1","Sunday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","1","Sunday","50","Dublin Bus","Number","105425"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","2","Monday","10","Cork city","Number","22492"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","2","Monday","20","Galway city","Number","8623"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","2","Monday","30","Limerick city","Number","6478"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","2","Monday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","2","Monday","50","Dublin Bus","Number","198694"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","3","Tuesday","10","Cork city","Number","24160"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","3","Tuesday","20","Galway city","Number","9405"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","3","Tuesday","30","Limerick city","Number","6877"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","3","Tuesday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","3","Tuesday","50","Dublin Bus","Number","210003"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","4","Wednesday","10","Cork city","Number","25129"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","4","Wednesday","20","Galway city","Number","9551"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","4","Wednesday","30","Limerick city","Number","7247"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","4","Wednesday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","4","Wednesday","50","Dublin Bus","Number","214838"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","5","Thursday","10","Cork city","Number","25047"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","5","Thursday","20","Galway city","Number","9558"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","5","Thursday","30","Limerick city","Number","7402"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","5","Thursday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","5","Thursday","50","Dublin Bus","Number","217645"
